iter	Passed	Remaining
888	28968	3616
889	29002	3584
890	29037	3552
891	29070	3519
892	29109	3487
893	29155	3456
894	29198	3425
895	29239	3393
896	29278	3361
897	29315	3329
898	29351	3297
899	29389	3265
900	29423	3233
901	29456	3200
902	29490	3167
903	29521	3135
904	29554	3102
905	29589	3069
906	29622	3037
907	29656	3004
908	29687	2972
909	29720	2939
910	29753	2906
911	29784	2873
912	29816	2841
913	29847	2808
914	29879	2775
915	29911	2742
916	29944	2710
917	29978	2677
918	30010	2645
919	30042	2612
920	30079	2580
921	30114	2547
922	30154	2515
923	30201	2484
924	30256	2453
925	30296	2421
926	30348	2389
927	30382	2357
928	30415	2324
929	30449	2291
930	30481	2259
931	30512	2226
932	30544	2193
933	30575	2160
934	30605	2127
935	30637	2094
936	30671	2062
937	30704	2029
938	30738	1996
939	30771	1964
940	30803	1931
941	30834	1898
942	30865	1865
943	30897	1832
944	30929	1800
945	30961	1767
946	30993	1734
947	31023	1701
948	31053	1668
949	31085	1636
950	31115	1603
951	31146	1570
952	31175	1537
953	31210	1504
954	31241	1472
955	31273	1439
956	31306	1406
957	31338	1373
958	31371	1341
959	31403	1308
960	31434	1275
961	31466	1242
962	31499	1210
963	31532	1177
964	31562	1144
965	31594	1112
966	31625	1079
967	31655	1046
968	31686	1013
969	31731	981
970	31762	948
971	31794	915
972	31824	883
973	31854	850
974	31884	817
975	31915	784
976	31946	752
977	31977	719
978	32009	686
979	32041	653
980	32072	621
981	32102	588
982	32133	555
983	32187	523
984	32225	490
985	32256	458
986	32285	425
987	32313	392
988	32344	359
989	32374	327
990	32401	294
991	32432	261
992	32464	228
993	32496	196
994	32529	163
995	32560	130
996	32592	98
997	32627	65
998	32661	32
999	32692	0
